continent,location,gdp_per_capita,population,total_case,total_case_smoothed,total_case_per_mil,total_case_per_mil_smoothed,total_death,total_death_smoothed,total_death_per_mil,total_death_per_mil_smoothed,total_vaccine,total_vaccine_smoothed,total_vaccine_smoothed_per_mil,total_people_vaccinated_smoothed,total_people_vaccinated_smoothed_per_100
Europe,Iceland,46482.958,372903,208751,208751.011,559799.74,559799.793,186,186.032,498.794,498.757,258851,800598,2146926,304973,81.784
Asia,India,6426.674,1417173120,44995709,44994927.99,31750.307,31749.778,531915,531914.434,375.33,375.356,2112006824,2207195006,1557455,1027887318,72.505
Asia,Indonesia,11188.744,275501344,6812131,6812129.854,24726.311,24726.303,161879,161878.99,587.584,587.587,330544770,447564833,1624483,203881007,73.939
Asia,Iran,19082.62,88550568,7612728,7612728.006,85970.417,85970.41,146303,146303.007,1652.195,1652.204,20588423,155434502,1755374,65196953,73.601
Asia,Iraq,15663.986,44496124,2465545,2465544.997,55410.343,55410.326,25375,25375.01,570.226,570.25,26828,19559033,439553,11335808,25.462
Europe,Ireland,67335.293,5023108,1714111,1714111.003,341245.09,341245.097,9085,9085.001,1808.545,1808.649,11070988,11126132,2214997,4109987,81.796
Asia,Israel,33132.32,9449000,4830203,4830163.859,511186.68,511182.54,12581,12581.024,1331.444,1331.455,18609926,18714695,1980599,6788762,71.837
Europe,Italy,35220.084,59037472,25904951,25903384.15,438788.273,438761.746,190942,190940.859,3234.271,3234.235,144586225,144598156,2449277,50922333,86.219
North America,Jamaica,8193.571,2827382,155455,155421.143,54981.959,54969.986,3587,3582.008,1268.653,1266.909,566027,1534303,542682,866115,30.624
Asia,Japan,39002.223,123951696,33803572,33803572,272715.706,272715.697,74708,74685.722,602.695,602.539,383303948,383744042,3095914,104710374,84.454
Asia,Jordan,8337.49,11285875,1746997,1746997,154795.006,154795.031,14122,14122.01,1251.293,1251.324,4276815,10062354,891625,4828702,42.789
Asia,Kazakhstan,24055.588,19397998,1502857,1502856.97,77474.846,77474.837,19072,19072.025,983.23,983.165,18655980,20891256,1076990,10861286,55.997
Africa,Kenya,2993.028,54027484,343898,343870.561,6365.288,6364.744,5689,5688.996,105.409,105.327,11113785,23724463,439097,14483695,26.858
Europe,Kosovo,9795.834,1782115,273914,273914.008,153701.628,153701.634,3209,3209.048,1800.647,1800.604,1331443,1837790,1031242,907203,50.877
Asia,Kuwait,65530.537,4268886,666005,666004.978,156013.777,156013.767,2570,2570.038,602.064,601.979,37214,8261535,1935301,3346689,78.299
Asia,Kyrgyzstan,3393.474,6630621,87891,87891.013,13255.323,13255.34,1024,1024.002,154.435,154.455,2859037,3597854,542616,1712820,25.837
Asia,Laos,6397.36,7529477,218649,218641.589,29039.068,29038.098,671,671.008,89.125,89.136,1981593,11074168,1470774,5851664,77.737
Europe,Latvia,25063.846,1850654,975723,975723.007,527231.457,527231.467,7370,7370.048,3982.371,3982.384,2895704,2895437,1564553,1346126,72.765
Asia,Lebanon,13367.565,5489744,1238552,1238551.989,225611.967,225611.976,10936,10936.046,1992.005,1991.996,5134981,5816886,1059603,2669052,48.598
Africa,Liberia,752.788,5302690,8091,8089.034,1525.91,1525.5,295,295.035,55.655,55.665,10089,4410738,831763,3855851,72.745
Africa,Libya,17881.509,6812344,507266,507266.034,74462.778,74462.804,6437,6437.021,944.923,944.912,200655,3751568,550670,2329179,34.21
Europe,Lithuania,29524.265,2750058,1321670,1321642.161,480597.133,480587.01,9693,9693.008,3524.723,3524.708,4537188,4550927,1654835,1961980,71.311
Europe,Luxembourg,94277.965,647601,382879,382879.014,591226.698,591226.72,1000,1000.013,1544.15,1544.221,1286886,1374964,2123170,482389,74.443
Africa,Madagascar,1416.44,29611718,68289,68289.037,2306.149,2306.151,1425,1425.053,48.16,48.138,13544,3017118,101926,2637531,8.946
Africa,Malawi,1095.042,20405318,88888,88884.273,4356.065,4355.873,2686,2686.045,131.614,131.614,1256993,8299510,406701,5340210,26.124
Asia,Malaysia,26808.164,33938216,5118689,5118401.029,150823.741,150815.266,37172,37172.024,1095.235,1095.282,72609055,72619146,2139734,28137512,82.862
Asia,Maldives,15183.616,523798,186695,186692.704,356425.559,356421.215,316,316.088,603.259,603.278,772572,954392,1822114,401917,76.705
Europe,Malta,36513.323,533293,119112,119111.979,223351.885,223351.898,865,865.039,1621.993,1622.089,1344360,1372988,2574587,470844,88.304
Africa,Mauritania,3597.633,4736146,63891,63857.449,13490.078,13482.959,997,997.049,210.475,210.443,24659,4069242,859210,2101920,44.367
Africa,Mauritius,20292.745,1299478,308483,308483.015,237389.951,237389.93,1053,1053.058,810.358,810.37,35153,2615394,2012759,1123772,86.381
North America,Mexico,17336.469,127504120,7633355,7633355.012,59867.512,59867.52,334336,334336.001,2622.192,2622.154,150702693,221234504,1735095,97158464,76.213
Europe,Moldova,5189.972,3272993,620775,620774.984,189665.844,189665.841,12125,12125.024,3704.576,3704.597,1336495,2286632,698625,1106697,33.824
Asia,Mongolia,11840.846,3398373,1010944,1010944.017,297478.813,297478.786,2284,2284.023,672.11,672.071,4415265,5495810,1617192,2274766,66.931
Europe,Montenegro,16409.288,627082,251133,251133.001,400478.728,400478.778,2654,2654.036,4232.307,4232.347,608582,679652,1083830,293388,46.784
Africa,Morocco,7485.013,37457976,1275224,1275214.576,34044.122,34043.866,16297,16297.019,435.072,435.094,27409359,55527577,1482390,22909043,61.114
Africa,Mozambique,1136.103,32969520,233417,233417.016,7079.791,7079.786,2243,2243.068,68.003,68.026,295812,34677775,1051659,22735853,68.921
Asia,Myanmar,5591.597,54179312,640912,640886.433,11829.435,11828.974,19494,19494.024,359.752,359.827,3800,89284718,1648143,40367233,74.415
Africa,Namibia,9541.808,2567024,171998,171408.287,67002.878,66773.136,4098,4097.03,1596.458,1596.043,234709,992559,386631,618266,24.09
Oceania,Nauru,12895.635,12691,5393,5393.004,424946.813,424946.811,1,1.001,78.796,78.799,168,32260,2542034,13356,105.218
Asia,Nepal,2442.804,30547586,1003377,1003376.281,32846.338,32846.342,12031,12031.004,393.843,393.844,15749069,62135924,2034074,27736718,90.795
Oceania,New Zealand,36085.843,5185289,2354242,2351035.433,454023.337,453404.922,3172,3160.88,611.746,609.631,12052284,12014806,2317093,4301548,82.945
Africa,Nigeria,5338.454,218541216,266675,266675.004,1220.24,1220.235,3155,3155.029,14.47,14.46,3160328,116278942,532061,82107592,37.62
Europe,North Macedonia,13111.214,2093606,348335,348335.008,166380.394,166380.389,9939,9939.027,4747.322,4747.281,925842,1863558,890087,855096,40.841
Europe,Norway,64800.057,5434324,1486048,1485995.859,273455.898,273446.332,5600,5600.031,1030.465,1030.48,12119532,12138953,2233742,4346966,80.008
Asia,Oman,37960.709,4576300,399449,399449,87286.444,87286.442,4628,4628.027,1011.373,1011.298,65081,7088659,1548989,3260238,71.186
Asia,Pakistan,5034.708,235824864,1580631,1580630.986,6702.561,6702.566,30656,30656.038,129.952,130.008,132235516,339855601,1441116,165574153,70.17
